512,Windows NT is starting up,-Windows is starting up.
513,Windows is shutting down,-Windows is shutting down. All logon sessions will be terminated by this shutdown.
514,An authentication package has been loaded by the Local Security Authority,AuthenticationPackageName
515,A trusted logon process has registered with the Local Security Authority,"-A trusted logon process has registered with the Local Security Authority. This logon process will be trusted to submit logon requests. 

    Logon Process Name:  %1
    Caller User Name:    %2
    Caller Domain:       %3
    Caller Logon ID:     %4"
516,"Queuing of audit messages have been exhausted, leading to the loss of some audits","-Internal resources allocated for the queuing of audit messages have been exhausted, leading to the loss of some audits. 
    Number of audit messages discarded: %1"
517,The audit log was cleared,"-The audit log was cleared 
    Primary User Name:      %1
    Primary Domain:         %2
    Primary Logon ID:       %3
    Client User Name:       %4
    Client Domain:          %5
    Client Logon ID:        %6
    Client Process ID:      %7"
518,A notification package has been loaded by the Security Account Manager,"-An notification package has been loaded by the Security Account Manager. This package will be notified of any account or password changes. 
 Notification Package Name: %1"
519,A process is using an invalid local procedure call (LPC) port,"-Invalid use of LPC port.
    Process ID:        %1
    Image File Name:   %2
    Primary User Name: %3
    Primary Domain:    %4
    Primary Logon ID:  %5
    Client User Name:  %6
    Client Domain:     %7
    Client Logon ID:   %8
    Invalid use:       %9
    Server Port Name:  %10"
520,The system time was changed,"-The system time was changed.
    Process ID:         %1
    Process Name:       %2
    Primary User Name:  %3
    Primary Domain:     %4
    Primary Logon ID:   %5
    Client User Name:   %6
    Client Domain:      %7
    Client Logon ID:    %8
    Previous Time:      %10 %9
    New Time:           %12 %11"
521,Unable to log events to security log,"-Unable to log events to security log:
    Status code:                 %1
    Value of CrashOnAuditFail:   %2
    Number of failed audits:     %3"
523,The security log is full,-The security log is now %1 percent full.
528,Successful Logon,"-Successful Logon:
    User Name:              %1
    Domain:                 %2
    Logon ID:               %3
    Logon Type:             %4
    Logon Process:          %5
    Authentication Package: %6
    Workstation Name:       %7
    Logon GUID:             %8
    Caller User Name:       %9
    Caller Domain:          %10
    Caller Logon ID:        %11
    Caller Process ID:      %12
    Transited Services:     %13
    Source Network Address: %14
    Source Port:            %15
    Caller Process Name:    %16"
529,Logon Failure : Unknown username or bad password,"-Logon Failure:
    Reason:                  Unknown user name or bad password
    User Name:               %1
    Domain:                  %2
    Logon Type:              %3
    Logon Process:           %4
    Authentication Package:  %5
    Workstation Name:        %6
    Caller User Name:        %7
    Caller Domain:           %8
    Caller Logon ID:         %9
    Caller Process ID:       %10
    Transited Services:      %11
    Source Network Address:  %12
    Source Port:             %13
    Caller Process Name:     %14"
530,Logon Failure : Account logon time restriction violation,"-Logon Failure:
    Reason:                 Account logon time restriction violation
    User Name:              %1
    Domain:                 %2
    Logon Type:             %3
    Logon Process:          %4
    Authentication Package: %5
    Workstation Name:       %6
    Caller User Name:       %7
    Caller Domain:          %8
    Caller Logon ID:        %9
    Caller Process ID:      %10
    Transited Services:     %11
    Source Network Address: %12
    Source Port:            %13
    Caller Process Name:    %14"
531,Logon Failure : Account currently disabled,"-Logon Failure:
    Reason:                 Account currently disabled
    User Name:              %1
    Domain:                 %2
    Logon Type:             %3
    Logon Process:          %4
    Authentication Package: %5
    Workstation Name:       %6
    Caller User Name:       %7
    Caller Domain:          %8
    Caller Logon ID:        %9
    Caller Process ID:      %10
    Transited Services:     %11
    Source Network Address: %12
    Source Port:            %13
    Caller Process Name:    %14"
532,Logon Failure : The specified user account has expired,"-Logon Failure:
    Reason:                 The specified user account has expired
    User Name:              %1
    Domain:                 %2
    Logon Type:             %3
    Logon Process:          %4
    Authentication Package: %5
    Workstation Name:       %6
    Caller User Name:       %7
    Caller Domain:          %8
    Caller Logon ID:        %9
    Caller Process ID:      %10
    Transited Services:     %11
    Source Network Address: %12
    Source Port:            %13
    Caller Process Name:    %14"
533,Logon Failure : User not allowed to logon at this computer,"-Logon Failure:
    Reason:                 User not allowed to logon at this computer
    User Name:              %1
    Domain:                 %2
    Logon Type:             %3
    Logon Process:          %4
    Authentication Package: %5
    Workstation Name:       %6
    Caller User Name:       %7
    Caller Domain:          %8
    Caller Logon ID:        %9
    Caller Process ID:      %10
    Transited Services:     %11
    Source Network Address: %12
    Source Port:            %13
    Caller Process Name:    %14"
534,Logon Failure : The user has note been granted the requested logon type at this machine,"-Logon Failure:
    Reason:                 The user has not been granted the requested
                            logon type at this machine
    User Name:              %1
    Domain:                 %2
    Logon Type:             %3
    Logon Process:          %4
    Authentication Package: %5
    Workstation Name:       %6
    Caller User Name:       %7
    Caller Domain:          %8
    Caller Logon ID:        %9
    Caller Process ID:      %10
    Transited Services:     %11
    Source Network Address: %12
    Source Port:            %13
    Caller Process Name:    %14"
535,Logon Failure : The specified account's password has expired,"-Logon Failure:
    Reason:                 The specified account's password has expired
    User Name:              %1
    Domain:                 %2
    Logon Type:             %3
    Logon Process:          %4
    Authentication Package: %5
    Workstation Name:       %6
    Caller User Name:       %7
    Caller Domain:          %8
    Caller Logon ID:        %9
    Caller Process ID:      %10
    Transited Services:     %11
    Source Network Address: %12
    Source Port:            %13
    Caller Process Name:    %14"
536,Logon Failure : The NetLogon component is not active,"-Logon Failure:
    Reason:                 The NetLogon component is not active
    User Name:              %1
    Domain:                 %2
    Logon Type:             %3
    Logon Process:          %4
    Authentication Package: %5
    Workstation Name:       %6
    Caller User Name:       %7
    Caller Domain:          %8
    Caller Logon ID:        %9
    Caller Process ID:      %10
    Transited Services:     %11
    Source Network Address: %12
    Source Port:            %13
    Caller Process Name:    %14"
537,The logon attempt failed for other reasons,"-Logon Failure:
    Reason:                 An error occurred during logon
    User Name:              %1
    Domain:                 %2
    Logon Type:             %3
    Logon Process:          %4
    Authentication Package: %5
    Workstation Name:       %6
    Status code:            %7
    Substatus code:         %8
    Caller User Name:       %9
    Caller Domain:          %10
    Caller Logon ID:        %11
    Caller Process ID:      %12
    Transited Services:     %13
    Source Network Address: %14
    Source Port:            %15
    Caller Process Name:    %16"
538,The user has logged off,"-Logon Failure:
    Reason:                 An error occurred during logon
    User Name:              %1
    Domain:                 %2
    Logon Type:             %3
    Logon Process:          %4
    Authentication Package: %5
    Workstation Name:       %6
    Status code:            %7
    Substatus code:         %8
    Caller User Name:       %9
    Caller Domain:          %10
    Caller Logon ID:        %11
    Caller Process ID:      %12
    Transited Services:     %13
    Source Network Address: %14
    Source Port:            %15
    Caller Process Name:    %16"
539,Logon Failure : Account locked out,"-Logon Failure:
    Reason:                 An error occurred during logon
    User Name:              %1
    Domain:                 %2
    Logon Type:             %3
    Logon Process:          %4
    Authentication Package: %5
    Workstation Name:       %6
    Status code:            %7
    Substatus code:         %8
    Caller User Name:       %9
    Caller Domain:          %10
    Caller Logon ID:        %11
    Caller Process ID:      %12
    Transited Services:     %13
    Source Network Address: %14
    Source Port:            %15
    Caller Process Name:    %16"
540,Successful Network Logon,"-Successful Network Logon:
    User Name:               %1
    Domain:                  %2
    Logon ID:                %3
    Logon Type:              %4
    Logon Process:           %5
    Authentication Package:  %6
    Workstation Name:        %7
    Logon GUID:              %8
    Caller User Name:        %9
    Caller Domain:           %10
    Caller Logon ID:         %11
    Caller Process ID:       %12
    Transited Services:      %13
    Source Network Address:  %14
    Source Port:             %15
    Caller Process Name:     %16"
548,Logon Failure : Domain SID inconsistent,"-Logon Failure:
    Reason:                 Domain sid inconsistent
    User Name:              %1
    Domain:                 %2
    Logon Type:             %3
    Logon Process:          %4
    Authentication Package: %5
    Workstation Name:       %6  Transited Services: %7"
549,Logon Failure : All SIDs were filtered out,"-Logon Failure:
    Reason:                 All sids were filtered out
    User Name:              %1
    Domain:                 %2
    Logon Type:             %3
    Logon Process:          %4
    Authentication Package: %5
    Workstation Name:       %6"
551,User initiated logoff,"-User initiated logoff:
    User Name:  %1
    Domain:     %2
    Logon ID:   %3"
